lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-1
maim 5.7.4-6
make 4.4.1-2
mallard-ducktype 1.0.2-9
man-db 2.12.0-1
mariadb-libs 11.1.2-1
maven 3.8.7-1
mbedtls 3.4.1-1
mbedtls2 2.28.4-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
menu-cache 1.1.0-4
mesa 1:23.2.1-1
mesa-demos 9.0.0-3
meson 1.2.2-1
mimalloc 2.1.2-1
miniconda3 23.5.2-1
minizip 1:1.3-1
mitmproxy 10.1.1-1
mjpegtools 2.2.1-2
mk_vpp 3.07-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mlt 7.18.0-4
mobile-broadband-provider-info 20230416-1
